seed,epsilon,delta,m,threshold,cal_coverage,cal_avg_size,test_coverage,test_avg_size,time_solve_threshold,avg_time_per_test
42,0.4,0.01,1,0.1,0.705,1.045,0.64375,1.12375,18327.069215536118,2.347197824716568
42,0.4,0.1,2,0.1,0.665,1.005,0.6525,1.00125,18434.817533016205,2.276852194368839
42,0.4,0.1,1,0.1,0.705,1.045,0.64375,1.12375,18419.38001704216,2.3433471870422364
42,0.4,0.001,2,0.2,0.735,1.095,0.7,1.155,18539.448757886887,2.3077379420399664
123,0.05,0.001,4,0.999,0.995,468.84,1.0,546.12125,1586.560101032257,3.485121304988861
123,0.05,0.001,8,0.999,1.0,199.425,1.0,233.75375,1621.2521586418152,3.545674144029617
123,0.05,0.01,4,0.995,0.99,276.1,0.99625,323.81125,2403.2139003276825,3.372775767147541
123,0.05,0.01,8,0.995,0.99,91.115,0.9975,100.19375,2444.951602458954,3.504647708237171
123,0.05,0.001,1,0.99,1.0,616.24,0.99875,672.6925,2973.0837206840515,3.181446611881256
123,0.05,0.01,1,0.99,1.0,616.24,0.99875,672.6925,3122.349532842636,3.175351835489273
123,0.05,0.1,2,0.99,0.995,444.98,0.99625,482.71625,3259.433027267456,3.2637012523412703
123,0.05,0.01,2,0.99,0.995,444.98,0.99625,482.71625,3193.67085981369,3.3602814522385596
123,0.05,0.001,2,0.99,0.995,444.98,0.99625,482.71625,3246.083639383316,3.331666107773781
123,0.05,0.1,4,0.99,0.98,199.18,0.99375,239.225,3308.5624663829803,3.359231551885605
123,0.05,0.1,8,0.99,0.975,54.395,0.99,65.23125,3285.8482801914215,3.443527962565422
123,0.1,0.001,8,0.99,0.975,54.395,0.99,65.23125,3404.8994994163513,3.3753526479005815
123,0.05,0.1,1,0.95,0.98,426.835,0.98875,437.5675,3835.0468621253967,2.9986872610449793
123,0.1,0.01,4,0.95,0.965,71.015,0.9625,71.6275,3923.326111793518,3.208357425928116
123,0.1,0.001,2,0.95,0.97,210.24,0.9825,238.5375,4033.7745909690857,3.1261863994598387
123,0.1,0.01,8,0.95,0.955,10.06,0.9625,16.4475,4154.663649320602,3.0426365169882774
123,0.1,0.001,4,0.95,0.965,71.015,0.9625,71.6275,4098.677200555801,3.2843688035011294
123,0.1,0.001,1,0.9,0.97,314.38,0.98375,342.3475,4530.7195925712585,2.9908321288228037
123,0.1,0.1,8,0.9,0.94,4.615,0.94,7.86125,4891.377315044403,2.8097946932911873
123,0.1,0.1,4,0.9,0.945,44.74,0.93875,31.9175,4844.395390510559,2.903019769787788
123,0.1,0.01,2,0.9,0.96,119.21,0.96375,136.96375,4798.273416757584,2.9660803365707396
123,0.1,0.01,1,0.85,0.96,224.695,0.96875,270.91,5428.986380577087,2.6457122468948366
123,0.1,0.1,2,0.85,0.945,86.255,0.94875,91.2025,5700.888188362122,2.7169752845168116
123,0.1,0.1,1,0.8,0.945,194.32,0.96125,221.42125,6286.1203854084015,2.515343688428402
123,0.2,0.001,4,0.8,0.9,4.92,0.905,12.39625,6546.96372795105,2.4414738327264787
123,0.2,0.001,8,0.8,0.9,2.31,0.90375,3.35,6507.657898187637,2.4815425500273705
123,0.2,0.01,8,0.7,0.875,1.755,0.88125,2.085,7643.099883556366,2.3626753282546997
123,0.2,0.01,4,0.7,0.88,2.45,0.88125,5.50875,7750.482585906982,2.3733203202486037
123,0.2,0.001,2,0.7,0.89,16.285,0.89,38.14875,7708.634414434433,2.4165961650013923
123,0.2,0.01,2,0.65,0.875,9.91,0.86375,25.39625,8349.632044792175,2.3511985376477242
123,0.2,0.001,1,0.6,0.9,88.345,0.89625,122.37625,8587.688375711441,2.3347919923067093
123,0.2,0.01,1,0.6,0.9,88.345,0.89625,122.37625,8826.888120651245,2.3052973011136055
123,0.2,0.1,4,0.6,0.85,1.505,0.84125,2.47375,8859.142876386642,2.302592335045338
123,0.2,0.1,2,0.6,0.86,3.71,0.84875,13.2925,8915.734595060349,2.348394815325737
123,0.2,0.1,8,0.6,0.85,1.425,0.8375,1.60875,9138.253992319107,2.262239726781845
123,0.2,0.1,1,0.5,0.845,32.5,0.8425,62.695,9953.370169878006,2.2838621792197227
123,0.4,0.001,1,0.25,0.725,1.09,0.7325,2.1025,12780.069009065628,2.372609988152981
123,0.4,0.001,4,0.15,0.735,1.0,0.71,1.005,14116.383614778519,2.2957871147990225
123,0.4,0.001,8,0.15,0.735,1.0,0.70875,1.005,14127.548315525055,2.321375522315502
123,0.4,0.01,1,0.15,0.685,1.0,0.67625,1.045,14118.827325344086,2.43846703350544
123,0.4,0.001,2,0.15,0.735,1.0,0.71,1.005,14294.615653038025,2.257836672961712
123,0.4,0.1,8,0.1,0.695,1.0,0.675,1.0025,14642.089119195938,2.30801618129015
123,0.4,0.1,1,0.1,0.66,1.0,0.63125,1.0225,14604.633377790451,2.3962760305404665
123,0.4,0.01,8,0.1,0.695,1.0,0.675,1.0025,14721.086671829224,2.2923444655537604
123,0.4,0.01,4,0.1,0.695,1.0,0.67625,1.0025,14772.914021968842,2.2898301702737807
123,0.4,0.01,2,0.1,0.7,1.0,0.675,1.0025,14847.615392923355,2.2569492620229723
123,0.4,0.1,2,0.1,0.7,1.0,0.675,1.0025,14907.981379270554,2.2858556520938875
123,0.4,0.1,4,0.1,0.695,1.0,0.67625,1.0025,14892.552064418793,2.3090779876708982
516,0.05,0.001,4,0.995,0.995,328.295,0.9975,338.82375,2371.9961388111115,3.8758415573835374
516,0.05,0.001,8,0.995,0.995,117.58,0.9925,113.1925,2533.5045731067657,4.031750912666321
516,0.05,0.001,2,0.99,1.0,460.15,0.99625,489.54375,3182.5689918994904,4.068934583365917
516,0.05,0.01,4,0.99,0.99,256.24,0.995,244.32,3275.332078933716,4.280435000061988
516,0.05,0.01,8,0.99,0.99,76.175,0.98875,76.78125,3407.19562625885,4.258204316794872
516,0.05,0.01,1,0.95,0.995,438.49,0.99375,462.71125,3885.5508904457092,4.152158606350422
516,0.05,0.001,1,0.95,0.995,438.49,0.99375,462.71125,3984.379184484482,4.097501468062401
516,0.05,0.01,2,0.95,0.99,279.405,0.9825,264.96625,4008.629139184952,4.237687878906727
516,0.05,0.1,2,0.95,0.99,279.405,0.9825,264.96625,4032.4436230659485,4.313206484913826
516,0.1,0.01,8,0.95,0.975,17.565,0.96875,22.40625,4097.67058801651,4.313743342459202
516,0.1,0.01,4,0.95,0.98,92.885,0.965,82.145,4071.2287418842316,4.305919206142425
516,0.05,0.1,8,0.95,0.975,17.565,0.96875,22.40625,4199.714087486267,4.2778362274169925
516,0.1,0.001,8,0.95,0.975,17.565,0.96875,22.40625,4136.876201868057,4.391297211050987
516,0.05,0.1,4,0.95,0.98,92.885,0.965,82.145,4212.001816749573,4.409336373209953
516,0.1,0.001,4,0.95,0.98,92.885,0.965,82.145,4181.598592042923,4.464175951778889
516,0.1,0.001,2,0.9,0.965,174.455,0.96625,169.0425,5045.759500026703,4.763046719133854
516,0.05,0.1,1,0.85,0.975,313.345,0.975,288.78625,5988.386966943741,4.200934552252293
516,0.1,0.1,8,0.85,0.935,5.435,0.925,6.5725,6163.885543584824,4.190566256344319
516,0.1,0.01,1,0.8,0.97,244.405,0.9675,248.82625,6816.856955528259,3.7962638515233995
516,0.1,0.001,1,0.8,0.97,244.405,0.9675,248.82625,6888.906906843185,3.9315125143527982
516,0.1,0.1,4,0.8,0.93,8.43,0.9225,12.775,7265.137959241867,3.5859312179684637
516,0.1,0.1,2,0.8,0.955,82.98,0.93375,79.55625,7201.506067752838,3.6656393712759017
516,0.1,0.01,2,0.8,0.955,82.98,0.93375,79.55625,7366.938631057739,3.6159078040719033
516,0.2,0.001,8,0.8,0.915,3.685,0.92125,4.63375,7665.307456731796,3.5073412695527075
516,0.2,0.001,4,0.75,0.9,5.445,0.90125,6.9675,8291.103630304337,3.1971992698311804
516,0.2,0.01,8,0.75,0.88,2.78,0.89875,3.0975,8413.181762933731,3.1255937427282334
516,0.2,0.001,2,0.7,0.905,50.775,0.89625,37.10125,9227.543167829514,2.762224330306053
516,0.1,0.1,1,0.7,0.935,217.45,0.935,169.42375,9221.323145389557,2.766276626586914
516,0.2,0.01,4,0.7,0.87,4.05,0.88375,5.16125,9603.698868751526,2.6636091527342796
516,0.2,0.1,2,0.65,0.875,25.265,0.87,19.3625,10197.755438804626,2.391325044929981
516,0.2,0.01,2,0.65,0.875,25.265,0.87,19.3625,10279.948414564133,2.380833325684071
516,0.2,0.1,8,0.65,0.86,1.985,0.85625,2.26,10331.120574235916,2.3692764320969584
516,0.2,0.1,4,0.65,0.86,2.8,0.85875,3.555,10398.108619451523,2.341718249619007
516,0.2,0.01,1,0.6,0.905,150.13,0.89125,108.29125,10688.972517490387,2.36396086782217
